date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-05-19T00:00:00.000Z,183.63,186.6,183.49,185.03,26799116,176.7764080854,179.63555927,176.6416332821,178.1241561185,26799116,0.0,1.0
2020-05-20T00:00:00.000Z,185.66,185.85,183.94,184.81,31261334,179.2216080884,179.4050191922,177.5612549379,178.4010847291,31261334,0.51,1.0
2020-05-21T00:00:00.000Z,183.43,186.67,183.29,185.4,29032741,177.0689409224,180.1965829034,176.9337958985,178.9706244726,29032741,0.0,1.0
2020-05-22T00:00:00.000Z,183.51,184.46,182.54,183.19,20826898,177.1461666503,178.0632221694,176.2098046992,176.8372637386,20826898,0.0,1.0
2020-05-26T00:00:00.000Z,181.57,186.5,181.1,186.34,36073609,175.273442748,180.0324782316,174.8197415965,179.8780267757,36073609,0.0,1.0
2020-05-27T00:00:00.000Z,181.81,181.99,176.6,180.2,39517146,175.5051199318,175.6788778197,170.4757944005,173.9509521573,39517146,0.0,1.0
2020-05-28T00:00:00.000Z,181.4,184.15,180.38,180.74,33831824,175.1093380762,177.7639724737,174.1247100451,174.4722258208,33831824,0.0,1.0
2020-05-29T00:00:00.000Z,183.25,184.27,180.41,182.73,42146720,176.8951830345,177.8798110656,174.1536696931,176.393215803,42146720,0.0,1.0
2020-06-01T00:00:00.000Z,182.83,183.0,181.46,182.54,22668821,176.4897479629,176.6538526348,175.1672573721,176.2098046992,22668821,0.0,1.0
2020-06-02T00:00:00.000Z,184.91,185.0,181.35,184.25,30794585,178.497616889,178.584495833,175.0610719962,177.8605046336,30794585,0.0,1.0
2020-06-03T00:00:00.000Z,185.36,185.94,183.58,184.82,27311016,178.9320116086,179.4918981361,177.2137391622,178.4107379451,27311016,0.0,1.0
2020-06-04T00:00:00.000Z,182.92,185.84,182.3,184.3,28761809,176.5766269068,179.3953659762,175.9781275154,177.9087707136,28761809,0.0,1.0
2020-06-05T00:00:00.000Z,187.2,187.73,182.01,182.62,39893643,180.708203351,181.2198237985,175.6981842517,176.2870304271,39893643,0.0,1.0
2020-06-08T00:00:00.000Z,188.36,188.55,184.44,185.94,33211590,181.8279764059,182.0113875097,178.0439157375,179.4918981361,33211590,0.0,1.0
2020-06-09T00:00:00.000Z,189.8,190.7,187.26,188.0,29783916,183.2180395086,184.0868289478,180.7661226469,181.4804606302,29783916,0.0,1.0
2020-06-10T00:00:00.000Z,196.84,198.52,191.01,191.13,43872329,190.0139035663,191.6356438527,184.3860786435,184.5019172354,43872329,0.0,1.0
2020-06-11T00:00:00.000Z,186.27,195.76,186.07,193.13,52854672,179.8104542638,188.9713562392,179.617389944,186.4325604336,52854672,0.0,1.0
2020-06-12T00:00:00.000Z,187.74,191.72,185.18,190.54,43373587,181.2294770145,185.0714569789,178.7582537208,183.9323774919,43373587,0.0,1.0
2020-06-15T00:00:00.000Z,188.94,190.82,184.01,184.58,32770189,182.3878629334,184.2026675397,177.6288274498,178.1790607613,32770189,0.0,1.0
2020-06-16T00:00:00.000Z,193.57,195.58,191.46,192.89,42556656,186.8573019372,188.7975983514,184.8204733631,186.2008832498,42556656,0.0,1.0
2020-06-17T00:00:00.000Z,194.24,196.32,193.69,195.03,25687822,187.5040674086,189.5119363347,186.9731405291,188.2666714719,25687822,0.0,1.0
2020-06-18T00:00:00.000Z,196.32,196.49,194.0,194.0,23061648,189.5119363347,189.6760410066,187.2723902248,187.2723902248,23061648,0.0,1.0
2020-06-19T00:00:00.000Z,195.15,199.29,194.37,198.59,44441141,188.3825100638,192.378941484,187.6295592165,191.7032163647,44441141,0.0,1.0
2020-06-22T00:00:00.000Z,200.57,200.76,195.23,195.79,32818929,193.6145531309,193.7979642347,188.4597357917,189.0003158872,32818929,0.0,1.0
2020-06-23T00:00:00.000Z,201.91,203.95,201.43,202.09,30917447,194.9080840737,196.8773401358,194.4447297061,195.0818419615,30917447,0.0,1.0
2020-06-24T00:00:00.000Z,197.84,203.25,196.56,201.6,36740647,190.9792251654,196.2016150165,189.7436135185,194.608834378,36740647,0.0,1.0
2020-06-25T00:00:00.000Z,200.34,200.61,195.47,197.8,27803933,193.3925291631,193.6531659949,188.6914129755,190.9406123014,27803933,0.0,1.0
2020-06-26T00:00:00.000Z,196.33,199.89,194.88,199.73,54675780,189.5215895507,192.9581344435,188.121873232,192.8036829877,54675780,0.0,1.0
2020-06-29T00:00:00.000Z,198.44,198.53,193.55,195.78,26701586,191.5584181248,191.6452970687,186.8379955052,188.9906626712,26701586,0.0,1.0
2020-06-30T00:00:00.000Z,203.51,204.4,197.74,197.88,34310283,196.4525986322,197.3117348554,190.8826930054,191.0178380293,34310283,0.0,1.0
2020-07-01T00:00:00.000Z,204.7,206.35,201.77,203.14,32071431,197.6013313352,199.1941119737,194.7729390498,196.0954296406,32071431,0.0,1.0
2020-07-02T00:00:00.000Z,206.26,208.02,205.0,205.68,29322547,199.1072330298,200.8061990442,197.8909278149,198.5473465023,29322547,0.0,1.0
2020-07-06T00:00:00.000Z,210.7,211.13,208.09,208.83,32033747,203.3932609297,203.8083492174,200.8737715561,201.5881095394,32033747,0.0,1.0
2020-07-07T00:00:00.000Z,208.25,214.67,207.99,210.45,33600749,201.028223012,207.2255876782,200.7772393962,203.15193053,33600749,0.0,1.0
2020-07-08T00:00:00.000Z,212.83,213.26,208.69,210.07,33602226,205.4493959358,205.8644842234,201.4529645156,202.7851083223,33602226,0.0,1.0
2020-07-09T00:00:00.000Z,214.32,216.38,211.47,216.33,33122280,206.8877251185,208.8762876126,204.1365585611,208.8280215327,33122280,0.0,1.0
2020-07-10T00:00:00.000Z,213.67,214.08,211.08,213.62,26178663,206.2602660791,206.6560479347,203.7600831374,206.2119999991,26178663,0.0,1.0
2020-07-13T00:00:00.000Z,207.07,215.8,206.5,214.48,38135816,199.889143525,208.3164010851,199.3389102135,207.0421765743,38135816,0.0,1.0
2020-07-14T00:00:00.000Z,208.35,208.85,202.03,206.13,37598121,201.1247551719,201.6074159714,195.0239226656,198.9817412219,37598121,0.0,1.0
2020-07-15T00:00:00.000Z,208.04,211.33,205.03,209.56,32248893,200.8255054761,204.0014135372,197.9198874629,202.2927943068,32248893,0.0,1.0
2020-07-16T00:00:00.000Z,203.92,205.7,202.31,205.4,29940718,196.8483804879,198.5666529343,195.2942127133,198.2770564545,29940718,0.0,1.0
2020-07-17T00:00:00.000Z,202.88,205.04,201.39,204.47,31636070,195.8444460248,197.9295406789,194.4061168422,197.3793073674,31636070,0.0,1.0
2020-07-20T00:00:00.000Z,211.6,212.3,203.01,205.0,36386080,204.2620503689,204.9377754883,195.9699378327,197.8909278149,36386080,0.0,1.0
2020-07-21T00:00:00.000Z,208.75,213.94,208.03,213.66,37702523,201.5108838115,206.5209029108,200.8158522602,206.2506128631,37702523,0.0,1.0
2020-07-22T00:00:00.000Z,211.75,212.3,208.39,209.2,49605692,204.4068486088,204.9377754883,201.1633680358,201.9452785311,49605692,0.0,1.0
